donation_id,donation_date,city,state,donor_type,food_type,quantity_donated_kg,quantity_available_kg,shelf_life_hours,storage_condition,storage_temp_C,distance_to_foodbank_km,foodbank_id,foodbank_capacity_kg,current_stock_kg,beneficiaries_count,transport_available,redistribution_priority,donor_contact_number,remarks
DON-0524,2026-02-13,Patiala,Punjab,Gurudwara Langar,Wheat Flour,65.9,,79.0,Room,,25.8,FB-04,1000,749,467.0,,MEDIUM ,+91-988741734,
DON-0249,2026-02-17,amritsar ,Punjab,Hostel Mess,vegetables,153.5,214.9,47.0,Cold,,15.2,FB-03,1500,1250,591.0,YES ,med,+91-984827271,urgent pickup
DON-0383,2026-01-22,Patiala,Punjab,Hostel Mess,Fruits,38.2,21.5,54.0,Cold,,10.0,FB-03,1000,505,132.0,Y,Medium,+91-983027842,urgent pickup
DON-0500,2026-01-22,Ludhiana,Punjab,Wedding Hall,Bread/Bakery,89.1,73.0,14.0,Room,,17.5,FB-02,1500,582,231.0,No,Medium,+91-986275615,urgent pickup
DON-0553,2026-01-16,LUDHIANA ,Punjab,Household,Dairy,76.7,61.2,19.0,Room,,14.0,FB-01,1500,843,72.0,Y,med,+91-988770326,urgent pickup
DON-0040,2026-02-02,Bathinda,Punjab,Gurudwara Langar,Wheat Flour,40.2,37.6,99.0,Cold,,28.7,FB-02,800,460,44.0,Y,Low,+91-986517366,festival surplus
DON-0146,2026-02-03,Delhi,Delhi,Restaurant,Cooked Meals,71.3,63.3,9.0,Room,,6.8,FB-03,500,263,274.0,N,MEDIUM ,+91-988347000,festival surplus
DON-0378,2026-02-10,Jaipur,Rajasthan,Restaurant,Bread/Bakery,65.5,50.8,11.0,Cold,,17.0,FB-05,500,342,512.0,N,MEDIUM ,+91-981049892,urgent pickup
DON-0078,2026-03-05,Bathinda,Punjab,Hostel Mess,vegetables,55.2,50.0,39.0,Cold,,0.9,FB-05,1500,1140,258.0,No,Medium,+91-981864645,
DON-0119,2026-01-17,Delhi,Delhi,Gurudwara Langar,Fruits,165.3,110.5,43.0,No Storage,,11.7,FB-03,800,293,152.0,N,med,+91-983188370,ok
DON-0401,2026-01-14,ludhiana,Punjab,Restaurant,VEGETABLES ,70.6,54.0,36.0,Room,,7.7,FB-05,1000,259,522.0,Yes,Medium,+91-984929301,
DON-0149,2026-01-07,Bathinda,Punjab,Supermarket,Fruits,175.2,133.7,46.0,No Storage,,20.9,FB-05,500,57,383.0,yes,MEDIUM ,+91-989953038,ok
DON-0332,2026-01-06,Jalandhar,Punjab,Farm,Wheat Flour,39.1,29.6,109.0,No Storage,,7.6,FB-02,1500,657,186.0,,MEDIUM ,+91-985372472,ok
DON-0133,2026-03-02,amritsar ,Punjab,Restaurant,Dairy,82.2,115.08,18.0,Cold,,20.0,FB-02,800,301,287.0,N,Medium,+91-985411887,festival surplus
DON-0216,2026-02-04,CHANDIGARH,Chandigarh UT,Gurudwara Langar,Bread/Bakery,91.9,61.2,19.0,Cold,,28.2,FB-04,500,144,112.0,Yes,Medium,+91-984411647,ok
DON-0585,2026-03-09,Patiala,Punjab,Household,vegetables,117.1,100.8,24.0,No Storage,,21.7,FB-03,800,403,357.0,yes,HIGH ,+91-989543813,festival surplus
DON-0438,2026-01-17,LUDHIANA ,Punjab,Household,Dairy,82.0,48.2,28.0,Room,,44.7,FB-01,500,142,321.0,Y,Medium,+91-985375979,festival surplus
DON-0087,2026-02-27,AMRITSAR,Punjab,Wedding Hall,Wheat Flour,97.2,57.6,166.0,Cold,,6.3,FB-05,500,285,285.0,no ,Medium,+91-983788363,ok
DON-0322,2026-03-04,ludhiana,Punjab,Wedding Hall,Fruits,100.9,,51.0,Room,,11.6,FB-02,500,251,209.0,YES ,med,+91-987525940,ok
DON-0337,2026-01-16,Delhi,Delhi,Restaurant,rice ,34.6,23.5,76.0,Room,,16.8,FB-01,500,444,134.0,Yes,Low,+91-984983063,
DON-0077,2026-01-14,Patiala,Punjab,Household,rice ,228.0,187.0,80.0,Room,,9.9,FB-03,800,232,363.0,Yes,High,+91-985057025,ok
DON-0236,2026-02-26,Jaipur,Rajasthan,Farm,Dairy,62.1,60.0,22.0,No Storage,,23.7,FB-05,800,407,149.0,N,MEDIUM ,+91-981078840,
DON-0486,2026-02-05,Delhi,Delhi,Supermarket,Vegetables,58.3,35.3,29.0,Room,,14.1,FB-04,500,281,321.0,yes,high,+91-985728257,urgent pickup
DON-0278,2026-02-19,Bathinda,Punjab,Gurudwara Langar,Cooked Meals,98.4,78.9,6.0,Cold,,8.1,FB-02,1500,846,211.0,no ,MEDIUM ,+91-984767263,urgent pickup
DON-0011,2026-03-09,amritsar ,Punjab,Gurudwara Langar,VEGETABLES ,75.0,61.8,41.0,No Storage,29.9,3.4,FB-01,500,147,146.0,Y,Medium,+91-985041776,
DON-0209,2026-01-19,LUDHIANA ,Punjab,Gurudwara Langar,Rice,56.4,50.2,47.0,Room,22.9,10.9,FB-02,800,566,279.0,YES ,med,+91-984146243,festival surplus
DON-0466,2026-03-09,Jalandhar,Punjab,Farm,Dairy,86.2,53.8,37.0,Cold,2.8,11.6,FB-05,800,415,268.0,N,med,+91-989987831,ok
DON-0394,2026-02-22,chandigarh ,Chandigarh UT,Hostel Mess,VEGETABLES ,98.7,82.4,33.0,No Storage,33.9,18.4,FB-05,1500,1385,296.0,yes,Medium,+91-983763049,
DON-0347,2026-01-30,Jaipur,Rajasthan,Farm,Vegetables,65.4,60.1,26.0,Cold,4.8,25.1,FB-04,1500,1211,231.0,Y,med,+91-988613312,
DON-0566,2026-03-06,Patiala,Punjab,Gurudwara Langar,Wheat Flour,37.6,35.4,156.0,Cold,4.9,8.3,FB-02,1000,398,387.0,Yes,med,+91-983114564,festival surplus
DON-0031,2026-01-28,Patiala,Punjab,Restaurant,COOKED MEALS,205.0,192.1,4.0,Room,26.5,12.2,FB-01,1000,143,58.0,yes,high,+91-989929285,urgent pickup
DON-0574,2026-01-06,Chandigarh,Chandigarh UT,Supermarket,rice ,72.5,58.7,64.0,Room,28.0,6.5,FB-01,1000,418,184.0,N,med,+91-984453203,
DON-0205,2026-01-30,Jalandhar,Punjab,Gurudwara Langar,RICE,46.8,42.5,61.0,Room,23.2,9.8,FB-03,1500,1175,469.0,Y,Medium,+91-988542242,
DON-0312,2026-02-01,Delhi,Delhi,Hostel Mess,Fruits,92.1,51.3,41.0,Room,28.4,11.7,FB-05,500,125,213.0,NO,med,+91-989173542,ok
DON-0512,2026-01-14,Jalandhar,Punjab,Farm,Wheat Flour,146.6,126.2,107.0,Room,26.2,7.3,FB-04,500,181,119.0,Yes,Medium,+91-985056150,urgent pickup
DON-0141,2026-02-09,Patiala,Punjab,Restaurant,Vegetables,32.6,19.4,41.0,Cold,4.5,7.9,FB-04,1000,315,487.0,N,MEDIUM ,+91-981264237,urgent pickup
DON-0474,2026-01-13,Delhi,Delhi,Household,Dairy,48.7,37.7,22.0,No Storage,33.5,22.4,FB-04,1000,872,138.0,NO,Medium,+91-982334996,
DON-0578,2026-02-03,Bathinda,Punjab,Farm,COOKED MEALS,74.7,54.5,7.0,Room,20.7,17.3,FB-03,800,340,494.0,yes,high,+91-981011957,ok
DON-0057,2026-01-13,Amritsar,Punjab,Farm,VEGETABLES ,68.8,51.8,22.0,Cold,4.2,18.5,FB-04,800,394,201.0,yes,MEDIUM ,+91-986609125,
DON-0589,2026-02-24,Jalandhar,Punjab,Gurudwara Langar,RICE,75.3,71.3,69.0,Room,25.8,13.6,FB-05,500,119,270.0,Yes,med,+91-989892812,festival surplus
DON-0506,2026-03-07,ludhiana,Punjab,Hostel Mess,Fruits,58.0,52.7,55.0,Room,29.9,22.8,FB-01,800,424,258.0,N,low ,+91-982180034,urgent pickup
DON-0229,2026-01-30,Amritsar,Punjab,Restaurant,Dairy,136.8,101.7,18.0,Room,26.8,5.3,FB-02,500,255,256.0,No,med,+91-981444874,urgent pickup
DON-0210,2026-01-15,Jaipur,Rajasthan,Farm,Cooked Meals,55.0,43.4,5.0,Room,26.7,14.5,FB-05,800,221,272.0,YES ,High,+91-989164962,ok
DON-0025,2026-01-08,Amritsar,Punjab,Supermarket,COOKED MEALS,65.3,38.0,8.0,Room,25.5,22.9,FB-05,800,219,337.0,Yes,high,+91-989934845,ok
DON-0479,2026-03-04,Jalandhar,Punjab,Farm,Bread/Bakery,96.4,56.0,23.0,Cold,4.4,11.1,FB-03,1000,480,89.0,N,MEDIUM ,+91-989650353,
DON-0369,2026-01-27,Jaipur,Rajasthan,Hostel Mess,cooked meals ,70.5,66.5,10.0,No Storage,32.9,24.2,FB-02,800,314,130.0,yes,MEDIUM ,+91-982908151,
DON-0362,2026-03-07,Patiala,Punjab,Farm,Bread/Bakery,94.7,,22.0,Room,30.1,3.5,FB-04,800,633,233.0,Yes,med,+91-982103248,urgent pickup
DON-0364,2026-02-08,ludhiana,Punjab,Supermarket,Vegetables,213.4,152.9,56.0,Room,19.4,19.0,FB-05,1500,878,172.0,yes,med,+91-985773147,festival surplus
DON-0469,2026-02-26,LUDHIANA ,Punjab,Supermarket,Dairy,83.2,70.1,7.0,Room,24.7,12.2,FB-01,1500,1016,209.0,YES ,HIGH ,+91-987149620,ok
DON-0071,2026-01-13,LUDHIANA ,Punjab,Hostel Mess,Bread/Bakery,86.4,51.5,9.0,No Storage,29.7,9.6,FB-03,500,305,237.0,NO,MEDIUM ,+91-984329049,ok
DON-0353,2026-02-19,Jaipur,Rajasthan,Gurudwara Langar,Wheat Flour,101.2,83.4,97.0,Room,29.0,7.2,FB-05,1000,590,191.0,YES ,med,+91-989314052,urgent pickup
DON-0177,2026-01-23,AMRITSAR,Punjab,Farm,Bread/Bakery,65.9,47.8,20.0,No Storage,32.0,12.8,FB-03,1000,897,158.0,Y,MEDIUM ,+91-985343699,
DON-0370,2026-02-25,Jaipur,Rajasthan,Hostel Mess,RICE,86.4,64.2,72.0,Room,21.7,30.9,FB-02,1500,1289,404.0,YES ,Medium,+91-989584036,
DON-0061,2026-03-06,Bathinda,Punjab,Gurudwara Langar,Bread/Bakery,71.6,40.7,10.0,Room,22.5,5.5,FB-01,1000,493,179.0,no ,med,+91-985188891,
DON-0600,2026-01-12,CHANDIGARH,Chandigarh UT,Supermarket,RICE,69.5,47.3,60.0,Room,24.5,11.7,FB-04,800,511,200.0,no ,med,+91-983803943,ok
DON-0102,2026-03-04,chandigarh ,Chandigarh UT,Household,rice ,-126.2,103.1,82.0,Room,31.7,-39.2,FB-05,500,79,86.0,yes,Medium,+91-985319453,ok
DON-0204,2026-02-28,Jaipur,Rajasthan,Supermarket,Bread/Bakery,179.1,,12.0,No Storage,29.9,7.1,FB-04,800,499,279.0,Yes,HIGH ,+91-986050058,festival surplus
DON-0589,2026-02-24,Jalandhar,Punjab,Gurudwara Langar,rice ,75.3,71.3,69.0,Room,25.8,13.6,FB-05,500,119,270.0,Y,MEDIUM ,+91-989892812,festival surplus
DON-0091,2026-01-08,Bathinda,Punjab,Gurudwara Langar,Fruits,56.9,35.3,58.0,Room,26.3,10.7,FB-05,1500,1173,296.0,yes,med,+91-986913318,festival surplus
DON-0540,2026-01-22,Delhi,Delhi,Gurudwara Langar,Fruits,161.5,151.6,39.0,No Storage,29.0,21.6,FB-05,800,686,458.0,NO,Medium,+91-983647349,festival surplus
DON-0471,2026-01-11,Bathinda,Punjab,Household,Fruits,102.6,86.1,61.0,Room,21.2,4.0,FB-03,800,738,203.0,yes,med,+91-982170025,ok
DON-0568,2026-01-12,Delhi,Delhi,Gurudwara Langar,Fruits,48.5,40.5,64.0,Room,26.1,6.8,FB-01,800,729,50.0,no ,low ,+91-989708825,urgent pickup
DON-0030,2026-01-12,Jalandhar,Punjab,Hostel Mess,Dairy,75.8,45.1,30.0,Room,21.1,15.6,FB-01,1500,602,197.0,No,low ,+91-983568103,ok
DON-0111,2026-01-10,Bathinda,Punjab,Household,Dairy,93.4,71.7,23.0,Cold,4.6,11.8,FB-05,800,158,469.0,Y,high,+91-986928643,urgent pickup
DON-0510,2026-01-18,Patiala,Punjab,Gurudwara Langar,RICE,156.2,122.7,66.0,Room,21.5,14.9,FB-05,1500,1131,258.0,no ,med,+91-982196845,festival surplus
DON-0213,2026-01-30,Chandigarh,Chandigarh UT,Restaurant,RICE,63.3,56.8,63.0,No Storage,32.2,17.8,FB-05,800,305,148.0,,Medium,+91-986942654,festival surplus
DON-0545,2026-02-06,Jalandhar,Punjab,Household,Wheat Flour,79.2,75.1,113.0,Room,23.7,28.8,FB-01,500,401,267.0,yes,MEDIUM ,+91-982021983,
DON-0323,2026-02-25,Delhi,Delhi,Gurudwara Langar,Cooked Meals,88.2,63.7,8.0,Cold,4.6,5.3,FB-01,800,278,214.0,Y,high,+91-988352245,
DON-0290,2026-01-23,Jalandhar,Punjab,Hostel Mess,Wheat Flour,82.7,47.3,70.0,No Storage,30.7,17.8,FB-05,500,405,432.0,yes,MEDIUM ,+91-985607455,festival surplus
DON-0530,2026-02-07,Bathinda,Punjab,Wedding Hall,Vegetables,11.2,10.0,53.0,Room,26.9,5.2,FB-01,500,462,121.0,no ,LOW,+91-988346866,urgent pickup
DON-0463,2026-02-18,Jalandhar,Punjab,Farm,Fruits,103.9,91.0,61.0,Room,18.3,30.2,FB-01,500,159,198.0,yes,MEDIUM ,+91-987383244,
DON-0453,2026-03-02,Amritsar,Punjab,Hostel Mess,rice ,-128.6,125.8,67.0,Cold,5.2,16.4,FB-04,800,562,204.0,yes,MEDIUM ,+91-983093787,festival surplus
DON-0156,2026-02-27,Bathinda,Punjab,Supermarket,Fruits,102.7,82.0,52.0,Cold,5.7,16.6,FB-03,1000,134,,Yes,MEDIUM ,+91-989503197,festival surplus
DON-0082,2026-02-16,Jaipur,Rajasthan,Hostel Mess,Cooked Meals,81.5,53.7,7.0,Room,28.9,2.8,FB-01,1500,724,226.0,yes,HIGH ,+91-988609964,festival surplus
DON-0251,2026-02-07,Patiala,Punjab,Hostel Mess,cooked meals ,32.8,22.5,3.0,Cold,3.8,16.3,FB-01,1000,822,235.0,Yes,Medium,+91-987849221,urgent pickup
DON-0595,2026-03-07,chandigarh ,Chandigarh UT,Restaurant,cooked meals ,88.3,71.2,11.0,Room,25.4,2.2,FB-05,1000,648,229.0,NO,MEDIUM ,+91-989402477,festival surplus
DON-0239,2026-03-03,Jaipur,Rajasthan,Gurudwara Langar,Bread/Bakery,56.1,44.5,25.0,No Storage,26.6,12.2,FB-05,800,716,329.0,N,med,+91-981526925,festival surplus
DON-0406,2026-02-09,ludhiana,Punjab,Supermarket,Rice,62.0,46.8,55.0,Room,24.1,11.9,FB-03,800,315,195.0,yes,MEDIUM ,+91-987631430,
DON-0064,2026-01-10,Delhi,Delhi,Gurudwara Langar,rice ,31.0,22.8,77.0,Cold,6.3,11.2,FB-05,1000,664,401.0,yes,MEDIUM ,+91-984622138,ok
DON-0272,2026-03-03,ludhiana,Punjab,Farm,Fruits,182.6,102.7,69.0,Room,24.2,36.2,FB-01,800,277,334.0,yes,Medium,+91-984348549,urgent pickup
DON-0073,2026-02-15,AMRITSAR,Punjab,Restaurant,Fruits,79.6,64.6,25.0,Room,24.7,8.3,FB-01,500,56,477.0,no ,MEDIUM ,+91-984105958,ok
DON-0257,2026-01-13,AMRITSAR,Punjab,Gurudwara Langar,Fruits,81.5,75.2,54.0,Cold,60.0,9.0,FB-02,500,404,103.0,YES ,MEDIUM ,+91-988135580,urgent pickup
DON-0555,2026-02-13,Jalandhar,Punjab,Farm,Cooked Meals,40.4,22.8,5.0,Room,25.7,-12.8,FB-01,1000,882,158.0,yes,med,+91-985833461,urgent pickup
DON-0336,2026-02-05,Ludhiana,Punjab,Household,Wheat Flour,112.5,64.0,51.0,Room,23.9,7.0,FB-05,1000,141,71.0,Yes,med,+91-985100321,
DON-0579,2026-02-27,Amritsar,Punjab,Farm,Dairy,58.9,46.3,9.0,Room,23.8,15.2,FB-03,500,86,142.0,No,Medium,+91-988073026,festival surplus
DON-0400,2026-02-19,Chandigarh,Chandigarh UT,Restaurant,Cooked Meals,120.4,94.0,6.0,No Storage,24.1,13.8,FB-02,1000,700,173.0,yes,HIGH ,+91-985763090,
DON-0261,2026-01-09,ludhiana,Punjab,Wedding Hall,Dairy,102.4,143.36,32.0,Cold,4.4,9.9,FB-03,1500,1382,364.0,Yes,MEDIUM ,+91-989234025,
DON-0136,2026-01-17,Jalandhar,Punjab,Supermarket,VEGETABLES ,119.1,66.8,45.0,No Storage,33.1,7.2,FB-01,500,460,230.0,no ,med,+91-983473199,
DON-0341,2026-01-17,Delhi,Delhi,Hostel Mess,vegetables,95.7,74.9,35.0,Room,33.1,25.0,FB-02,500,101,440.0,YES ,med,+91-982215442,ok
DON-0111,2026-01-10,Bathinda,Punjab,Household,Dairy,93.4,71.7,23.0,Cold,4.6,11.8,FB-05,800,158,469.0,yes,High,+91-986928643,urgent pickup
DON-0212,2026-01-11,LUDHIANA ,Punjab,Household,rice ,46.1,31.5,79.0,Room,27.3,5.3,FB-01,1500,1163,385.0,yes,med,+91-984884175,festival surplus
DON-0542,2026-01-21,chandigarh ,Chandigarh UT,Restaurant,Fruits,106.5,84.3,60.0,Room,28.7,35.6,FB-05,500,52,378.0,Y,Medium,+91-986816272,
DON-0300,2026-01-16,Delhi,Delhi,Farm,rice ,156.3,129.6,66.0,Room,31.6,22.9,FB-05,1000,444,223.0,Y,MEDIUM ,+91-989809609,festival surplus
DON-0481,2026-01-23,Chandigarh,Chandigarh UT,Supermarket,COOKED MEALS,116.2,78.4,7.0,Cold,4.4,6.2,FB-05,500,57,532.0,yes,High,+91-983577697,urgent pickup
DON-0007,2026-01-23,LUDHIANA ,Punjab,Gurudwara Langar,Bread/Bakery,71.6,51.8,14.0,Cold,2.7,23.8,FB-01,1000,618,162.0,No,med,+91-985372093,urgent pickup
DON-0105,2026-01-12,amritsar ,Punjab,Restaurant,Fruits,57.8,32.9,41.0,No Storage,21.7,17.9,FB-01,500,278,116.0,Yes,Low,+91-987722090,
DON-0115,2026-01-25,LUDHIANA ,Punjab,Supermarket,Bread/Bakery,63.8,50.8,24.0,No Storage,18.2,19.9,FB-05,800,571,253.0,YES ,Medium,+91-986910184,
DON-0159,2026-01-24,Amritsar,Punjab,Restaurant,Dairy,82.9,68.3,15.0,Room,31.0,11.3,FB-01,1000,245,271.0,yes,med,+91-981243877,festival surplus
DON-0182,2026-01-10,Bathinda,Punjab,Farm,Bread/Bakery,105.1,75.6,19.0,Cold,2.3,10.1,FB-04,500,228,75.0,Yes,MEDIUM ,+91-982569720,
DON-0532,2026-01-07,Bathinda,Punjab,Hostel Mess,Fruits,111.7,76.7,30.0,Cold,2.1,6.0,FB-02,1000,477,276.0,Yes,MEDIUM ,+91-989543133,festival surplus
DON-0365,2026-02-02,Bathinda,Punjab,Household,vegetables,123.9,115.3,20.0,Cold,4.6,24.3,FB-03,1000,141,227.0,YES ,Medium,+91-987259225,festival surplus
DON-0178,2026-01-12,Jalandhar,Punjab,Supermarket,vegetables,106.7,70.4,48.0,Cold,2.4,27.3,FB-04,1500,349,118.0,Y,Low,+91-985370602,festival surplus
DON-0594,2026-02-10,Jaipur,Rajasthan,Wedding Hall,Rice,101.6,59.0,80.0,Cold,4.2,29.1,FB-04,1000,190,378.0,YES ,med,+91-986533198,festival surplus
DON-0200,2026-02-17,chandigarh ,Chandigarh UT,Restaurant,Bread/Bakery,103.8,84.3,10.0,Cold,3.7,15.8,FB-02,1000,802,82.0,Yes,med,+91-988663998,urgent pickup
DON-0422,2026-02-21,Patiala,Punjab,Supermarket,COOKED MEALS,52.5,35.1,6.0,Room,23.9,4.4,FB-03,500,166,166.0,Yes,High,+91-984971586,ok
DON-0301,2026-01-27,Chandigarh,Chandigarh UT,Gurudwara Langar,Cooked Meals,37.6,22.8,7.0,Cold,3.9,13.4,FB-04,1000,786,147.0,No,med,+91-986214802,urgent pickup
DON-0409,2026-01-19,CHANDIGARH,Chandigarh UT,Hostel Mess,Wheat Flour,64.1,53.1,181.0,Room,23.0,9.8,FB-02,500,64,365.0,NO,MEDIUM ,+91-984816707,
DON-0397,2026-03-03,Jalandhar,Punjab,Household,COOKED MEALS,100.8,73.6,2.0,Room,25.1,6.4,FB-01,1500,966,206.0,NO,med,+91-983288786,urgent pickup
DON-0287,2026-03-02,chandigarh ,Chandigarh UT,Gurudwara Langar,VEGETABLES ,71.9,47.5,25.0,Cold,1.5,4.3,FB-01,800,184,124.0,YES ,MEDIUM ,+91-987779617,festival surplus
DON-0258,2026-03-09,Bathinda,Punjab,Restaurant,Bread/Bakery,102.1,86.7,17.0,Room,28.2,16.9,FB-01,500,369,107.0,Yes,med,+91-984507145,ok
DON-0260,2026-01-13,Jalandhar,Punjab,Hostel Mess,Bread/Bakery,139.5,106.8,17.0,Room,18.9,26.7,FB-05,1500,1068,651.0,Y,HIGH ,+91-987483214,urgent pickup
DON-0056,2026-02-07,ludhiana,Punjab,Gurudwara Langar,Fruits,92.5,62.7,64.0,No Storage,31.7,15.9,FB-04,800,596,78.0,no ,low ,+91-985897954,
DON-0043,2026-01-22,Patiala,Punjab,Household,VEGETABLES ,132.7,97.2,35.0,Cold,4.5,20.9,FB-03,800,749,112.0,,med,+91-983420564,urgent pickup
DON-0074,2026-01-12,Chandigarh,Chandigarh UT,Gurudwara Langar,Fruits,53.1,30.8,37.0,Room,20.3,21.9,FB-05,800,306,319.0,YES ,med,+91-983551331,ok
DON-0538,2026-01-08,chandigarh ,Chandigarh UT,Restaurant,Cooked Meals,80.8,60.0,6.0,Cold,4.8,14.3,FB-02,1000,661,288.0,yes,high,+91-983748881,
DON-0067,2026-01-08,Amritsar,Punjab,Restaurant,cooked meals ,104.0,87.5,9.0,Room,22.7,23.8,FB-05,1000,727,202.0,Yes,High,+91-983887698,urgent pickup
DON-0012,2026-01-27,Amritsar,Punjab,Household,Dairy,84.3,81.3,29.0,No Storage,28.2,22.1,FB-01,800,716,310.0,YES ,High,+91-982105534,festival surplus
DON-0164,2026-01-20,Bathinda,Punjab,Supermarket,Cooked Meals,69.7,68.1,5.0,Room,21.9,11.2,FB-01,1000,575,380.0,No,High,+91-981464310,festival surplus
DON-0444,2026-01-12,Bathinda,Punjab,Wedding Hall,rice ,49.3,47.0,92.0,Cold,3.4,-11.4,FB-03,500,469,137.0,Yes,med,+91-986482571,urgent pickup
DON-0211,2026-02-28,Bathinda,Punjab,Restaurant,Vegetables,58.0,48.7,44.0,Room,22.6,18.9,FB-03,500,375,252.0,N,LOW,+91-988778512,ok
DON-0333,2026-02-03,amritsar ,Punjab,Gurudwara Langar,Wheat Flour,61.7,54.0,145.0,No Storage,27.1,4.2,FB-02,1000,540,202.0,no ,MEDIUM ,+91-985773598,festival surplus
DON-0084,2026-03-04,amritsar ,Punjab,Gurudwara Langar,RICE,81.0,61.2,69.0,No Storage,26.0,13.3,FB-04,800,167,300.0,Y,MEDIUM ,+91-989181883,urgent pickup
