Year,Month,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition prog.
2019,AUG,WARREN,982,2357,45337.544,300,403.5
2019,AUG,WAYNESBORO,387,833,18091.75033,,4226.5
2019,AUG,WINCHESTER,3033,8315,174382.87,0,107
2019,DEC,ALBEMARLE,2300,6127,160619.90483999997,94,1336
2019,DEC,AMHERST,1084,2738,117014.84510000002,1296,0
2019,DEC,APPOMATTOX,1481,2238,27993.047599999998,,0
2019,DEC,AUGUSTA,3381,9137,279124.6736000001,70,958.4
2019,DEC,BATH,249,444,13237.265,,0
2019,DEC,BEDFORD COUNTY,494,2174,22527.625,,0
2019,DEC,BUCKINGHAM,540,952,24975.8808,,0
2019,DEC,BUENA VISTA,692,1446,26314.2346,,0
2019,DEC,CAMPBELL,1130,2055,91554.67819999998,,5205.5
2019,DEC,CHARLOTTESVILLE,1133,7164,57111.07620000001,0,0
2019,DEC,CLARKE COUNTY,194,330,7341.367199999999,0,914.6
2019,DEC,CULPEPER,549,1338,37657.722200000004,,0
2019,DEC,FAUQUIER,859,1939,38118.119399999996,,0
2019,DEC,FLUVANNA,261,560,14542.815200000001,133,1773
2019,DEC,FREDERICK,2594,5760,50030.339199999995,,0
2019,DEC,GREENE,597,1490,46129.717999999986,86,1170
2019,DEC,HARRISONBURG,2149,7023,161137.7814,430,2886.7999999999997
2019,DEC,HIGHLAND,201,370,8464.644,,0
2019,DEC,LEXINGTON,666,1334,32637.52925,,0
2019,DEC,LOUDOUN,4170,9191,125867.0596,1090,11434.800039999998
2019,DEC,LYNCHBURG,2242,8578,147826.2882,1717.0000000000002,17209.75
2019,DEC,MADISON,277,647,31242.284,,0
2019,DEC,NELSON,602,1189,46143.610210000006,,0
2019,DEC,ORANGE,593,1546,49587.1348,,0
2019,DEC,PAGE COUNTY,416,806,24047.8228,,0
2019,DEC,PITTSYLVANIA,,,0,78,1858.5
2019,DEC,RAPPAHANNOCK,306,769,22955.186999999998,,0
2019,DEC,ROCKBRIDGE,2422,2817,14814.51,,0
2019,DEC,ROCKINGHAM,1994,4002,62175.058600000004,,0
2019,DEC,SHENANDOAH,1269,3358,68084.245,,0
2019,DEC,STAUNTON CITY,370,5347,20601.331000000002,,442
2019,DEC,WARREN,624,1804,28625.802,186,352
2019,DEC,WAYNESBORO,799,1348,19178.657000000003,164,7339.200000000001
2019,DEC,WINCHESTER,2532,7374,116568.4046,2678,2741.3000500000003
2019,FEB,ALBEMARLE,2206,6475,184176.5692,116,1926
2019,FEB,AMHERST,960,2249,92875.09715999999,509.00000000000006,360
2019,FEB,APPOMATTOX,798,1280,31341.31538,,0
2019,FEB,AUGUSTA,2371,6500,247776.77174,107,1918
2019,FEB,BATH,85,248,18500.125720000004,,0
2019,FEB,BEDFORD COUNTY,300,780,16801.43986,,0
2019,FEB,BUCKINGHAM,711,1663,39613.47840000001,,0
2019,FEB,BUENA VISTA,651,1147,25009.682020000004,,0
2019,FEB,CAMPBELL,839,1880,82731.77746000001,229,2245.5
2019,FEB,CHARLOTTESVILLE,2880,8829,39276.17310000001,0,0
2019,FEB,CLARKE COUNTY,187,365,17524.57,,0
2019,FEB,CULPEPER,515,1816,35681.62442,,0
2019,FEB,FAUQUIER,882,2128,58462.222,,0
2019,FEB,FLUVANNA,314,788,19522.2392,100.99999999999999,2992.5
2019,FEB,FREDERICK,2058,4086,55187.89634000001,,0
2019,FEB,GREENE,296,796,25102.436299999994,53,1227
2019,FEB,HARRISONBURG,1793,6207,130142.84986,144,502.3
2019,FEB,HIGHLAND,46,130,1336.377,,0
2019,FEB,LEXINGTON,462,1224,43619.33755999999,,0
2019,FEB,LOUDOUN,2139,7941,138984.56420000002,1144,14778.699999999999
2019,FEB,LYNCHBURG,1807,8411,146494.16254,929,22304.9
2019,FEB,MADISON,240,574,21064.606,,0
2019,FEB,NELSON,469,1126,34607.395619999996,,0
2019,FEB,ORANGE,462,1406,34710.2112,,0
2019,FEB,PAGE COUNTY,201.99999999999997,630,29889.720800000003,,0
2019,FEB,PITTSYLVANIA,,,0,86,2102.9
2019,FEB,RAPPAHANNOCK,225,682,20010.4065,,0
2019,FEB,ROCKBRIDGE,419,2143,20190.22296,,0
2019,FEB,ROCKINGHAM,1023,2654,84064.18718,,0
2019,FEB,SHENANDOAH,915,2218,69063.59999999999,,0
2019,FEB,STAUNTON CITY,617,5382,24711.640600000002,,601
2019,FEB,WARREN,972,2525,33891.0931,44,0
2019,FEB,WAYNESBORO,626,1158,17149.2314,354,7350.099999999999
2019,FEB,WINCHESTER,3106,8276,105829.11985999999,224,4201.7
2019,JAN,ALBEMARLE,2391,6992,184373.45800000007,116,2834
2019,JAN,AMHERST,587,1790,105231.74,511,5185
2019,JAN,APPOMATTOX,712,1135,25594.836000000003,,0
2019,JAN,AUGUSTA,2564,6877,322269.58800000005,108,1184.6
2019,JAN,BATH,114,292,12831.566,,0
2020,OCT,PITTSYLVANIA,,,0,0,0
2019,JAN,BEDFORD COUNTY,326,702,19900.224,,0
2019,JAN,BUCKINGHAM,706,1487,33851.25,,0
2019,JAN,BUENA VISTA,607,1007,26104.946,,0
2019,JAN,CAMPBELL,821,1669.9999999999998,102514.81,130,7094
2019,JAN,CHARLOTTESVILLE,3184,9776,39766.03,0,0
2019,JAN,CLARKE COUNTY,220,429,16822.224000000002,,0
2019,JAN,CULPEPER,551,1887,31300.1,,0
2019,JAN,FAUQUIER,876,2071,56189.37,,0
2019,JAN,FLUVANNA,440,1051,29638.5,100.99999999999999,4176.5
2019,JAN,FREDERICK,2088,4353,45977.007999999994,,0
2019,JAN,GREENE,332,866,38189.246,53,979.6
2019,JAN,HARRISONBURG,1784,6129,166284.702,42,704.5
2019,JAN,HIGHLAND,51,141,3897.5,,0
2019,JAN,LEXINGTON,583,1329,46193.56999999999,,0
2019,JAN,LOUDOUN,2787,10345,160525.27800000002,1190,19313.3
2019,JAN,LYNCHBURG,5294,9104,138967.17509999996,893,23669.5
2019,JAN,MADISON,300,663,22473.28,,0
2019,JAN,NELSON,461,1078,35154.44,,0
2019,JAN,ORANGE,425,1219,48414.8,,0
2019,JAN,PAGE COUNTY,166,536,54332.27,,0
2019,JAN,PITTSYLVANIA,,,0,84,2801.7
2019,JAN,RAPPAHANNOCK,216,602,18464.37,,0
2019,JAN,ROCKBRIDGE,375,2084,20098.629999999997,,0
2019,JAN,ROCKINGHAM,1172,2723,90159.025,,0
2019,JAN,SHENANDOAH,871,2272,90335.54,,0
2019,JAN,STAUNTON CITY,554,6073,27789.998,,769
2019,JAN,WARREN,444,2177,42793.8565,60,558.5
2019,JAN,WAYNESBORO,651,1322,19598.858,140,7769.6
2019,JAN,WINCHESTER,3168,8676,128595.09999999999,194,5173.2
2019,JUL,ALBEMARLE,2485,6524,171660.8236,0,0
2019,JUL,AMHERST,1282,2470,100339.531,,0
2019,JUL,APPOMATTOX,1808,2593,21137.037999999997,,-112
2019,JUL,AUGUSTA,3058,7933,301790.83485999994,20,0
2019,JUL,BATH,236,529,12566.994999999999,,0
2019,JUL,BEDFORD COUNTY,405,839,15977.975,,0
2019,JUL,BUCKINGHAM,902,1710,39475.5525,,0
2019,JUL,BUENA VISTA,1047,1890,20915.631279999998,,0
2019,JUL,CAMPBELL,862,1881,76184.42000000001,0,720
2019,JUL,CHARLOTTESVILLE,656,7529,45411.126050000006,,895
2019,JUL,CLARKE COUNTY,168,337,9693.36505,0,0
2019,JUL,CULPEPER,733,1946,36245.31525,,0
2019,JUL,FAUQUIER,828,1491,53069.792700000005,,0
2019,JUL,FLUVANNA,438,917,26945.75,0,0
2019,JUL,FREDERICK,2812,4738,54926.86825,,0
2019,JUL,GREENE,401,992,36311.24080000001,,0
2019,JUL,HARRISONBURG,2775,9217,168550.37428000002,112,6851.5
2019,JUL,HIGHLAND,186,337,7949.65,,0
2019,JUL,LEXINGTON,739,1578,35147.14303000001,,0
2019,JUL,LOUDOUN,2447,9073,174369.05680000002,1180,3794
2019,JUL,LYNCHBURG,8373,12745,165736.14099999997,0,12591.119999999999
2019,JUL,MADISON,281,647,20538.40985,,0
2019,JUL,NELSON,607,1082,34667.05,,726.13
2019,JUL,ORANGE,443,1307,42258.201799999995,,0
2019,JUL,PAGE COUNTY,365,808,46036.79125,,0
2019,JUL,PITTSYLVANIA,,,0,0,0
2019,JUL,RAPPAHANNOCK,270,680,18062.390000000003,,0
2019,JUL,ROCKBRIDGE,1999.9999999999998,2315,16532.1983,,493
2019,JUL,ROCKINGHAM,1825,3572,77027.99958,,0
2019,JUL,SHENANDOAH,1545,4049,81280.92024999998,,0
2019,JUL,STAUNTON CITY,501,5668,22947.71806,,432
2019,JUL,WARREN,1199,2900,46074.10675,0,169
2019,JUL,WAYNESBORO,197,519,12606.011709999999,0,978
2019,JUL,WINCHESTER,1665,8679,151019.37800000003,0,1709
2019,JUN,ALBEMARLE,2478,6395,174420.28204999998,0,0
2019,JUN,AMHERST,735,2354,94033.5965,0,0
2019,JUN,APPOMATTOX,703,1121,19970.329899999997,,1619
2019,JUN,AUGUSTA,2681,7116,280711.05257999996,485.99999999999994,12985.1
2019,JUN,BATH,250,507,14998.275,,0
2019,JUN,BEDFORD COUNTY,311,910,19824.594999999998,,0
2019,JUN,BUCKINGHAM,911,1738,38259.721000000005,,0
2019,JUN,BUENA VISTA,973,1683,28381.161299999996,,0
2019,JUN,CAMPBELL,878,2248,83619.47360000001,0,1048.5
2019,JUN,CHARLOTTESVILLE,627,3612,43889.55322000001,,11952.4
2019,JUN,CLARKE COUNTY,199,394,15339.525,,0
2019,JUN,CULPEPER,332,683,26901.95,,0
2019,JUN,FAUQUIER,843,1578,44729.903,,0
2019,JUN,FLUVANNA,516,1058,34807.1618,0,0
2019,JUN,FREDERICK,2180,4165,49203.195,,0
2019,JUN,GREENE,363,881,29656.4413,,0
2019,JUN,HARRISONBURG,2172,7499,124007.26378000001,145,11747.5
2019,JUN,HIGHLAND,222,417,9017,,0
2019,JUN,LEXINGTON,620,1426,31956.04252,,0
2019,JUN,LOUDOUN,1988,7245,147677.70095000003,1380,31047.899999999998
2019,JUN,LYNCHBURG,6281,12239,141193.41010000004,4853,15063.25
2019,JUN,MADISON,0,0,26792.55695,,0
2019,JUN,NELSON,558,995,27198.8027,,75
2019,JUN,ORANGE,594,1491,48098.1445,,0
2019,JUN,PAGE COUNTY,321,714,38282.504,,0
2019,JUN,PITTSYLVANIA,,,0,0,0
2019,JUN,RAPPAHANNOCK,273,653,15396.478099999998,,0
2019,JUN,ROCKBRIDGE,1296,1662,15498.6983,,375
2019,JUN,ROCKINGHAM,1235,3337,80512.87299999999,,0
2019,JUN,SHENANDOAH,877,2383,98578.79,,0
2019,JUN,STAUNTON CITY,480,5367,22940.346559999998,,1135.5
2019,JUN,WARREN,938,2244,39248.13485,0,0
2019,JUN,WAYNESBORO,211,601,18473.73244,,3903
2019,JUN,WINCHESTER,2372,7428,123381.32500000001,0,6186
2019,MAR,ALBEMARLE,2572,6150,151880.28534000003,115.00000000000001,3012.9
2019,MAR,AMHERST,1098,2058,114235.73800000001,632,10176
2019,MAR,APPOMATTOX,888,1299,27300.628979999998,,0
2019,MAR,AUGUSTA,2659,6456,293694.82510000013,383,1256
2019,MAR,BATH,278,545,19272.265939999997,,0
2019,MAR,BEDFORD COUNTY,374,770,15751.09566,,0
2019,MAR,BUCKINGHAM,944,1663,43928.75,,0
2019,MAR,BUENA VISTA,878,1625,28605.5902,,0
2019,MAR,CAMPBELL,852,1646,79658.04976,130,5269.7
2019,MAR,CHARLOTTESVILLE,3550,9150,38268.442319999995,0,110
2019,MAR,CLARKE COUNTY,231,413,11504.76884,,0
2019,MAR,CULPEPER,628,1688,25430.540420000005,,0
2019,MAR,FAUQUIER,980,2008,43276.93932,,0
2019,MAR,FLUVANNA,343,650,29181.5,100.99999999999999,1530
2019,MAR,FREDERICK,2324,4281.999999999999,44616.74422,,0
2019,MAR,GREENE,314,793,35786.97463999999,77,1307.5
2019,MAR,HARRISONBURG,2043,6915,128426.44982000001,111.00000000000001,0
2019,MAR,HIGHLAND,171,335,11454,,0
2019,MAR,LEXINGTON,684,1316,26595.03502,,0
2019,MAR,LOUDOUN,2481,8631,152879.64236,1124,18157.800000000003
2019,MAR,LYNCHBURG,4688,7559,127409.45423999998,930,15053.199999999999
2019,MAR,MADISON,241,567,22697.80762,,0
2019,MAR,NELSON,614,1173,38851.75724,,0
2019,MAR,ORANGE,655,1302,48251.0274,,0
2019,MAR,PAGE COUNTY,329,625,39416.772899999996,,0
2019,MAR,PITTSYLVANIA,,,0,,2056
2019,MAR,RAPPAHANNOCK,287,713,17136.12972,,0
2019,MAR,ROCKBRIDGE,286,1778,14126.48246,,0
2019,MAR,ROCKINGHAM,1722,3249,84559.77428,,0
2019,MAR,SHENANDOAH,1136,2989,67732.06550000001,,0
2019,MAR,STAUNTON CITY,580,5060,26291.115979999995,,889
2019,MAR,WARREN,775,2193,41469.92802000001,0,462
2019,MAR,WAYNESBORO,634,1054,15329.1927,134,7347.5
2019,MAR,WINCHESTER,4325,9390,109670.5629,224,4772.5
2019,MAY,ALBEMARLE,2417,6457,156918.64289,111.00000000000001,2242
2019,MAY,AMHERST,1131,2353,125046.9328,636,0
2019,MAY,APPOMATTOX,767,1141,29100.4,,3347
2019,MAY,AUGUSTA,2799,6976,292131.54096,71,5529.9
2019,MAY,BATH,257,513,14979.364050000002,,0
2019,MAY,BEDFORD COUNTY,394,874,26121.636,,0
2019,MAY,BUCKINGHAM,895,1625,36202.500029999996,,0
2019,MAY,BUENA VISTA,680,1292,28518.465910000003,,0
2019,MAY,CAMPBELL,851,1830,129811.58292000002,,1051.5
2019,MAY,CHARLOTTESVILLE,920,2676,42591.029310000005,0,4539
2019,MAY,CLARKE COUNTY,202,411.00000000000006,17143.11815,,0
2019,MAY,CULPEPER,478,1274,37736.78568,,0
2019,MAY,FAUQUIER,882,2041.0000000000002,58785.24005,,0
2019,MAY,FLUVANNA,507,1108,26796,96,1079
2019,MAY,FREDERICK,2466,4437,49574.08425000001,,0
2019,MAY,GREENE,395,967,41794.32255,76,135
2019,MAY,HARRISONBURG,2438,8016,149768.98561,91,52
2019,MAY,HIGHLAND,194,365,8947,,0
2019,MAY,LEXINGTON,658,1359,38508.6628,,0
2019,MAY,LOUDOUN,2460,8530,187189.10809999998,1079,21667.1
2019,MAY,LYNCHBURG,2891,6287,180407.44022,2468,16352.050000000001
2019,MAY,MADISON,292,525,28137.697079999998,,0
2019,MAY,NELSON,385,634,42041.95,,1299
2019,MAY,ORANGE,525,1325,53910.73727,,0
2019,MAY,PAGE COUNTY,362,756,32065.32025,,0
2019,MAY,PITTSYLVANIA,,,0,86,763.5
2019,MAY,RAPPAHANNOCK,255.00000000000003,555,21284.1927,,0
2019,MAY,ROCKBRIDGE,2582,2922,13338.445399999999,,0
2019,MAY,ROCKINGHAM,1929,3695,94080.31415,,0
2019,MAY,SHENANDOAH,852,2312,93195.64024000001,,0
2019,MAY,STAUNTON CITY,495,5612,23044.72512,,1008
2019,MAY,WARREN,735,2181,45997.8354,270,425
2019,MAY,WAYNESBORO,178,559,10293.965200000002,,6270.5
2019,MAY,WINCHESTER,3058,7915,161823.42699999997,224,4418.7
2019,NOV,ALBEMARLE,3193,8245,153363.00749000002,95.00000000000001,2437
2019,NOV,AMHERST,1510,4042.9999999999995,112351.03100000002,2251,6354
2019,NOV,APPOMATTOX,1333,2045.9999999999998,25184.012400000003,,0
2019,NOV,AUGUSTA,3311,8537,297845.03609999997,72,959.4
2019,NOV,BATH,279,577,16887.5925,,0
2019,NOV,BEDFORD COUNTY,392,650,23741.9925,,0
2019,NOV,BUCKINGHAM,998,1871,35055.83489,,0
2019,NOV,BUENA VISTA,771,1476,32302.644800000005,,0
2019,NOV,CAMPBELL,1338,3136,87804.29705,,5369.5
2019,NOV,CHARLOTTESVILLE,1184,8989,47194.42575,0,0
2019,NOV,CLARKE COUNTY,197,411,5803.8596,0,202
2019,NOV,CULPEPER,602,1494,32438.755150000005,,0
2019,NOV,FAUQUIER,943,2394,35265.8474,,0
2019,NOV,FLUVANNA,474,953,20265.426570000003,132,3071
2019,NOV,FREDERICK,2743,7386,61524.005799999984,,0
2019,NOV,GREENE,536,1354,44019.570750000006,86,1422
2019,NOV,HARRISONBURG,1960,6421,131120.85580000002,243,879
2019,NOV,HIGHLAND,206,384,10963.29402,,0
2019,NOV,LEXINGTON,744,1678,58952.53999999999,,0
2019,NOV,LOUDOUN,2800,9814,164653.39575,1090,12150.5
2019,NOV,LYNCHBURG,2742,10999,193368.37964999996,3303,25601.875
2019,NOV,MADISON,332,806,31845.4804,,0
2019,NOV,NELSON,657,1349,39838.6156,,0
2019,NOV,ORANGE,675,1734,38586.7051,,0
2019,NOV,PAGE COUNTY,282,485,49068.681699999994,,0
2019,NOV,PITTSYLVANIA,,,0,80,2329
2019,NOV,RAPPAHANNOCK,455,1146,22705.050099999997,,0
2019,NOV,ROCKBRIDGE,401,4416,21651.975000000002,,0
2019,NOV,ROCKINGHAM,1868,3886,85871.41404000002,,0
2019,NOV,SHENANDOAH,1525,4059,97820.16340000002,,0
2019,NOV,STAUNTON CITY,413,5663,28183.889999999996,,280
2019,NOV,WARREN,811,2428,32589.4012,310,79
2019,NOV,WAYNESBORO,407,1498,25006.5732,164,5712.200000000001
2019,NOV,WINCHESTER,2636,8348,137816.0874,2678,21709.6
2019,OCT,ALBEMARLE,2370,6315,189254.27499999994,95.00000000000001,2587
2019,OCT,AMHERST,691,1809,101807.168,1199,3256.5
2019,OCT,APPOMATTOX,909,1258,32786.816,,0
2019,OCT,AUGUSTA,3202,8168,304383.7721,72,1227.9
2019,OCT,BATH,275,540,13737,,0
2019,OCT,BEDFORD COUNTY,290,535,20972.02075,,0
2019,OCT,BUCKINGHAM,931,1736,42729.57795,,0
2019,OCT,BUENA VISTA,989,1856,43296.49599999999,,0
2019,OCT,CAMPBELL,1048,2345,115689.40600000002,,4785.7
2019,OCT,CHARLOTTESVILLE,603,8547,47534.289,0,0
2019,OCT,CLARKE COUNTY,172,324,7319.875999999998,0,0
2019,OCT,CULPEPER,819,1903,33057.148,,0
2019,OCT,FAUQUIER,673,1515,42593.5445,,0
2019,OCT,FLUVANNA,437,974,26741.3229,127.00000000000001,4576
2019,OCT,FREDERICK,2868,5149,56660.417,,0
2019,OCT,GREENE,246,494,40943.04809999999,76,547
2019,OCT,HARRISONBURG,2673,9398,163819.81600000002,279,1975.5
2019,OCT,HIGHLAND,210,424,7407.26,,0
2019,OCT,LEXINGTON,729,1591,75141.08499999999,,0
2019,OCT,LOUDOUN,1128,4549,174152.1075,1140,27341.9
2019,OCT,LYNCHBURG,1220,6570,181732.54349999997,4224,32005.1
2019,OCT,MADISON,225,511,26967.02,,0
2019,OCT,NELSON,317,511,36631.716,,0
2019,OCT,ORANGE,646,1099,45320.34879999999,,0
2019,OCT,PAGE COUNTY,353,741,61635.059,,0
2019,OCT,PITTSYLVANIA,,,0,80,2203.4
2019,OCT,RAPPAHANNOCK,171,445.00000000000006,23347.864999999998,,0
2019,OCT,ROCKBRIDGE,5623,7121,14064.56,,0
2019,OCT,ROCKINGHAM,1840,3672,85130.65999999999,,0
2019,OCT,SHENANDOAH,934,2566,88162.43400000001,,0
2019,OCT,STAUNTON CITY,469,5391,25310.683999999997,,1727
2019,OCT,WARREN,431,1195,40001.66,1194,0
2019,OCT,WAYNESBORO,249,692,20463.989999999998,164,9510.499999999998
2019,OCT,WINCHESTER,1967,6294,168314.553,2678,16422.1
2019,SEP,ALBEMARLE,2364,5962,187702.4325,0,0
2019,SEP,AMHERST,902,1982,114348.1828,0,1100
2019,SEP,APPOMATTOX,1435,2046,25941.1626,,0
2019,SEP,AUGUSTA,2923,7569,296273.07165999996,72,1076.5
2019,SEP,BATH,238,446,16018.025000000001,,0
2019,SEP,BEDFORD COUNTY,440,903,18169.975,,0
2019,SEP,BUCKINGHAM,861,1624,38704.236,,0
2019,SEP,BUENA VISTA,819,1486,25146.844319999997,,0
2019,SEP,CAMPBELL,958,2146,81102.59959999999,142,1893.9
2019,SEP,CHARLOTTESVILLE,132,6856,44252.312,973,0
2019,SEP,CLARKE COUNTY,178,354,11229.659999999998,0,0
2019,SEP,CULPEPER,593,1619,31640.1525,,0
2019,SEP,FAUQUIER,841,1495,58275.38999999999,,0
2019,SEP,FLUVANNA,455,858,18892.902500000004,127.00000000000001,5411.5
2019,SEP,FREDERICK,3312,5506,54295.455,,0
2019,SEP,GREENE,83,186,46097.359500000006,55,0
2019,SEP,HARRISONBURG,2495,8211,151715.29398,156,0
2019,SEP,HIGHLAND,163,312,9734.15,,0
2019,SEP,LEXINGTON,840,1837,36714.75966,,0
2019,SEP,LOUDOUN,3043,10097,199710.31650000002,2983,11309.5
2019,SEP,LYNCHBURG,2464,8711,157198.0575,5648,27279.649999999998
2019,SEP,MADISON,190.00000000000003,433,25165.78,,0
2019,SEP,NELSON,605,1108,35050.7294,,0
2019,SEP,ORANGE,276,648,34559.9145,,0
2019,SEP,PAGE COUNTY,377,713,44349.850000000006,,0
2019,SEP,PITTSYLVANIA,,,0,89,2343.2
2019,SEP,RAPPAHANNOCK,265,679,18014.0625,,0
2019,SEP,ROCKBRIDGE,1624,1856,15536.55,,0
2019,SEP,ROCKINGHAM,1721,3355,86161.855,,0
2019,SEP,SHENANDOAH,1407,3879,72822.37499999999,,0
2019,SEP,STAUNTON CITY,434,5364,20354.266999999996,,343
2019,SEP,WARREN,826,2088,45100.020000000004,0,799
2019,SEP,WAYNESBORO,229,639,17586.00398,155,4364
2019,SEP,WINCHESTER,3072,8300,133587.62,160,1961.5
2020,APR,ALBEMARLE,3227,7937,220083.09511000002,,470.90000000000003
2020,APR,AMHERST,1293,2962,84066.48831999997,3889.0000000000005,6007.299999999999
2020,APR,APPOMATTOX,1294,2275,59657.07731999999,,0
2020,APR,AUGUSTA,2527,5905,232704.99217000004,140,7856.4
2020,APR,BATH,346,705,19498.30518,,0
2020,APR,BEDFORD COUNTY,586,1129,29491.25988,,0
2020,APR,BUCKINGHAM,574,1035,32136.533769999995,,0
2020,APR,BUENA VISTA,374,874,38967.765479999995,,0
2020,APR,CAMPBELL,979,2337,108037.05798000001,,2029.5
2020,APR,CHARLOTTESVILLE,1009,8817,60189.66510000001,,0
2020,APR,CLARKE COUNTY,133,231,6600,82,1993
2020,APR,CULPEPER,819,1853,93746.68021999998,,0
2020,APR,FAUQUIER,887,2055,43323.819,,0
2020,APR,FLUVANNA,415,1263,29936.582370000004,133,2734.7
2020,APR,FREDERICK,6742,9148,61973.74809999999,,0
2020,APR,GREENE,734,1914,58914.574609999996,77,1572.3
2020,APR,HARRISONBURG,2215,8837,230753.59553999998,154,2241.20008
2020,APR,HIGHLAND,243,486,12245.305799999998,,0
2020,APR,LEXINGTON,942.0000000000001,2151,51980.01011999999,,0
2020,APR,LOUDOUN,3742,17084,219387.96553999995,1065,18243.5
2020,APR,LYNCHBURG,12200,16048,209141.11638,4259,43264.8
2020,APR,MADISON,186,414,21502.9003,,0
2020,APR,NELSON,717,1406,48490.190259999996,,0
2020,APR,ORANGE,497,1249,39286.595089999995,,0
2020,APR,PAGE COUNTY,370,708,28741.833200000005,,0
2020,APR,PITTSYLVANIA,,,0,62,1144
2020,APR,RAPPAHANNOCK,341,815.0000000000001,30806.61291,,0
2020,APR,ROCKBRIDGE,343,5596,9221.6247,,0
2020,APR,ROCKINGHAM,1871,3985,113316.74929000002,75,2523.5
