quantity_donated_kg,quantity_available_kg,shelf_life_hours,storage_temp_C,distance_to_foodbank_km,foodbank_capacity_kg,current_stock_kg,beneficiaries_count,redistribution_priority,donation_month,donation_dayofweek,stock_pressure,surplus_ratio,need_per_km,is_perishable,cold_chain_ok,city_Bathinda,city_Chandigarh,city_Delhi,city_Jaipur,city_Jalandhar,city_Ludhiana,city_Patiala,state_Delhi,state_Punjab,state_Rajasthan,donor_type_Gurudwara Langar,donor_type_Hostel Mess,donor_type_Household,donor_type_Restaurant,donor_type_Supermarket,donor_type_Wedding Hall,food_type_Cooked Meals,food_type_Dairy,food_type_Fruits,food_type_Rice,food_type_Vegetables,food_type_Wheat Flour,storage_condition_No Storage,storage_condition_Room,foodbank_id_FB-02,foodbank_id_FB-03,foodbank_id_FB-04,foodbank_id_FB-05,transport_available_Yes
86.8,60.4,43,24.9,11.9,1000,371,226,2,3,6,0.371,0.696,17.52,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
80.7,45.0,5,24.9,6.0,500,459,120,2,2,5,0.918,0.558,17.14,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
70.3,70.3,31,4.2,13.2,1000,458,169,2,1,3,0.458,1.0,11.9,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
45.3,33.9,5,4.2,10.3,1000,138,275,0,2,5,0.138,0.748,24.34,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
82.3,78.1,24,24.9,14.0,800,446,287,2,2,0,0.558,0.949,19.13,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
190.1,155.6,46,30.2,9.1,1000,807,88,2,2,4,0.807,0.819,8.71,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
46.4,37.8,15,24.9,16.0,1000,142,124,2,2,3,0.142,0.815,7.29,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
63.8,53.7,18,4.2,27.6,500,361,236,2,2,6,0.722,0.842,8.25,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
119.9,67.7,105,4.2,7.2,1000,771,154,2,2,0,0.771,0.565,18.78,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
98.7,75.7,33,30.2,2.6,800,288,247,2,2,1,0.36,0.767,68.61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
77.2,67.0,30,24.9,11.5,1000,542,177,2,3,5,0.542,0.868,14.16,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
56.7,34.9,57,30.2,9.4,500,266,197,2,2,2,0.532,0.616,18.94,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
102.3,74.1,33,4.2,4.9,800,753,94,2,1,0,0.941,0.724,15.93,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
92.5,62.7,64,30.2,15.9,800,596,227,1,2,5,0.745,0.678,13.43,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
95.4,66.0,22,4.2,10.9,500,79,264,2,2,2,0.158,0.692,22.18,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
65.9,67.0,79,24.9,25.8,1000,749,467,2,2,4,0.749,1.017,17.43,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
153.5,153.5,47,4.2,15.2,1500,1250,591,2,2,1,0.833,1.0,36.48,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
38.2,21.5,54,4.2,10.0,1000,505,132,2,1,3,0.505,0.563,12.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
89.1,73.0,14,24.9,17.5,1500,582,231,2,1,3,0.388,0.819,12.49,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
76.7,61.2,19,24.9,14.0,1500,843,72,2,1,4,0.562,0.798,4.8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
40.2,37.6,99,4.2,28.7,800,460,44,1,2,0,0.575,0.935,1.48,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
71.3,63.3,9,24.9,6.8,500,263,274,2,2,1,0.526,0.888,35.13,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
65.5,50.8,11,4.2,17.0,500,342,512,2,2,1,0.684,0.776,28.44,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55.2,50.0,39,4.2,0.9,1500,1140,258,2,3,3,0.76,0.906,135.79,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
165.3,110.5,43,30.2,11.7,800,293,152,2,1,5,0.366,0.668,11.97,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
70.6,54.0,36,24.9,7.7,1000,259,522,2,1,2,0.259,0.765,60.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
175.2,133.7,46,30.2,20.9,500,57,383,2,1,2,0.114,0.763,17.49,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
39.1,29.6,109,30.2,7.6,1500,657,186,2,1,1,0.438,0.757,21.63,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
82.2,82.2,18,4.2,20.0,800,301,287,2,3,0,0.376,1.0,13.67,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
91.9,61.2,19,4.2,28.2,500,144,112,2,2,2,0.288,0.666,3.84,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
117.1,100.8,24,30.2,21.7,800,403,357,0,3,0,0.504,0.861,15.73,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
82.0,48.2,28,24.9,44.7,500,142,321,2,1,5,0.284,0.588,7.02,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
97.2,57.6,166,4.2,6.3,500,285,285,2,2,4,0.57,0.593,39.04,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
100.9,67.0,51,24.9,11.6,500,251,209,2,3,2,0.502,0.664,16.59,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1
34.6,23.5,76,24.9,16.8,500,444,134,1,1,4,0.888,0.679,7.53,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
228.0,187.0,80,24.9,9.9,800,232,363,0,1,2,0.29,0.82,33.3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
62.1,60.0,22,30.2,23.7,800,407,149,2,2,3,0.509,0.966,6.03,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
58.3,35.3,29,24.9,14.1,500,281,321,0,2,3,0.562,0.605,21.26,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
98.4,78.9,6,4.2,8.1,1500,846,211,2,2,3,0.564,0.802,23.19,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
75.0,61.8,41,29.9,3.4,500,147,146,2,3,0,0.294,0.824,33.18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
56.4,50.2,47,22.9,10.9,800,566,279,2,1,0,0.708,0.89,23.45,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
86.2,53.8,37,2.8,11.6,800,415,268,2,3,0,0.519,0.624,21.27,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
98.7,82.4,33,33.9,18.4,1500,1385,296,2,2,6,0.923,0.835,15.26,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
65.4,60.1,26,4.8,25.1,1500,1211,231,2,1,4,0.807,0.919,8.85,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
37.6,35.4,156,4.9,8.3,1000,398,387,2,3,4,0.398,0.941,41.61,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
205.0,192.1,4,26.5,12.2,1000,143,58,0,1,2,0.143,0.937,4.39,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
72.5,58.7,64,28.0,6.5,1000,418,184,2,1,1,0.418,0.81,24.53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
46.8,42.5,61,23.2,9.8,1500,1175,469,2,1,4,0.783,0.908,43.43,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
92.1,51.3,41,28.4,11.7,500,125,213,2,2,6,0.25,0.557,16.77,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
146.6,126.2,107,26.2,7.3,500,181,119,2,1,2,0.362,0.861,14.34,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
32.6,19.4,41,4.5,7.9,1000,315,487,2,2,0,0.315,0.595,54.72,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
48.7,37.7,22,33.5,22.4,1000,872,138,2,1,1,0.872,0.774,5.9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
74.7,54.5,7,20.7,17.3,800,340,494,0,2,1,0.425,0.73,26.99,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
68.8,51.8,22,4.2,18.5,800,394,201,2,1,1,0.492,0.753,10.31,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
75.3,71.3,69,25.8,13.6,500,119,270,2,2,1,0.238,0.947,18.49,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
58.0,52.7,55,29.9,22.8,800,424,258,1,3,5,0.53,0.909,10.84,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
136.8,101.7,18,26.8,5.3,500,255,256,2,1,4,0.51,0.743,40.63,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
55.0,43.4,5,26.7,14.5,800,221,272,0,1,3,0.276,0.789,17.55,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
65.3,38.0,8,25.5,22.9,800,219,337,0,1,3,0.274,0.582,14.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
96.4,56.0,23,4.4,11.1,1000,480,89,2,3,2,0.48,0.581,7.36,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70.5,66.5,10,32.9,24.2,800,314,130,2,1,1,0.392,0.943,5.16,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
94.7,67.0,22,30.1,3.5,800,633,233,2,3,5,0.791,0.707,51.78,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
213.4,152.9,56,19.4,19.0,1500,878,172,2,2,6,0.585,0.716,8.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
83.2,70.1,7,24.7,12.2,1500,1016,209,0,2,3,0.677,0.843,15.83,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
86.4,51.5,9,29.7,9.6,500,305,237,2,1,1,0.61,0.596,22.36,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
101.2,83.4,97,29.0,7.2,1000,590,191,2,2,3,0.59,0.824,23.29,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
65.9,47.8,20,32.0,12.8,1000,897,158,2,1,4,0.897,0.725,11.45,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
86.4,64.2,72,21.7,30.9,1500,1289,404,2,2,2,0.859,0.743,12.66,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
71.6,40.7,10,22.5,5.5,1000,493,179,2,3,4,0.493,0.568,27.54,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69.5,47.3,60,24.5,11.7,800,511,200,2,1,0,0.639,0.681,15.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
86.94999999999999,103.1,82,31.7,13.75,500,79,86,2,3,2,0.158,1.186,5.83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
179.1,67.0,12,29.9,7.1,800,499,279,0,2,5,0.624,0.374,34.44,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
75.3,71.3,69,25.8,13.6,500,119,270,2,2,1,0.238,0.947,18.49,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
56.9,35.3,58,26.3,10.7,1500,1173,296,2,1,3,0.782,0.62,25.3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
161.5,151.6,39,29.0,21.6,800,686,458,2,1,3,0.858,0.939,20.27,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
102.6,86.1,61,21.2,4.0,800,738,203,2,1,6,0.922,0.839,40.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
48.5,40.5,64,26.1,6.8,800,729,50,1,1,0,0.911,0.835,6.41,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
75.8,45.1,30,21.1,15.6,1500,602,197,1,1,0,0.401,0.595,11.87,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
93.4,71.7,23,4.6,11.8,800,158,469,0,1,5,0.198,0.768,36.64,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
156.2,122.7,66,21.5,14.9,1500,1131,258,2,1,6,0.754,0.786,16.23,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
63.3,56.8,63,32.2,17.8,800,305,148,2,1,4,0.381,0.897,7.87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
79.2,75.1,113,23.7,28.8,500,401,267,2,2,4,0.802,0.948,8.96,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
88.2,63.7,8,4.6,5.3,800,278,214,0,2,2,0.348,0.722,33.97,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
82.7,47.3,70,30.7,17.8,500,405,432,2,1,4,0.81,0.572,22.98,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
11.2,10.0,53,26.9,5.2,500,462,121,1,2,5,0.924,0.893,19.52,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
103.9,91.0,61,18.3,30.2,500,159,198,2,2,2,0.318,0.876,6.35,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
86.94999999999999,125.8,67,5.2,16.4,800,562,204,2,3,0,0.702,1.447,11.72,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
102.7,82.0,52,5.7,16.6,1000,134,227,2,2,4,0.134,0.798,12.9,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
81.5,53.7,7,28.9,2.8,1500,724,226,0,2,0,0.483,0.659,59.47,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
32.8,22.5,3,3.8,16.3,1000,822,235,2,2,5,0.822,0.686,13.58,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
88.3,71.2,11,25.4,2.2,1000,648,229,2,3,5,0.648,0.806,71.56,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
56.1,44.5,25,26.6,12.2,800,716,329,2,3,1,0.895,0.793,24.92,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
62.0,46.8,55,24.1,11.9,800,315,195,2,2,0,0.394,0.755,15.12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
31.0,22.8,77,6.3,11.2,1000,664,401,2,1,5,0.664,0.735,32.87,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
182.6,102.7,69,24.2,36.2,800,277,334,2,3,1,0.346,0.562,8.98,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
79.6,64.6,25,24.7,8.3,500,56,477,2,2,6,0.112,0.812,51.29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
81.5,75.2,54,4.2,9.0,500,404,103,2,1,1,0.808,0.923,10.3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
40.4,22.8,5,25.7,13.75,1000,882,158,2,2,4,0.882,0.564,10.71,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
112.5,64.0,51,23.9,7.0,1000,141,71,2,2,3,0.141,0.569,8.88,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
58.9,46.3,9,23.8,15.2,500,86,142,2,2,4,0.172,0.786,8.77,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
120.4,94.0,6,24.1,13.8,1000,700,173,0,2,3,0.7,0.781,11.69,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
102.4,102.4,32,4.4,9.9,1500,1382,364,2,1,4,0.921,1.0,33.39,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
119.1,66.8,45,33.1,7.2,500,460,230,2,1,5,0.92,0.561,28.05,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
95.7,74.9,35,33.1,25.0,500,101,440,2,1,5,0.202,0.783,16.92,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
93.4,71.7,23,4.6,11.8,800,158,469,0,1,5,0.198,0.768,36.64,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
46.1,31.5,79,27.3,5.3,1500,1163,385,2,1,6,0.775,0.683,61.11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
106.5,84.3,60,28.7,35.6,500,52,378,2,1,2,0.104,0.792,10.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
156.3,129.6,66,31.6,22.9,1000,444,223,2,1,4,0.444,0.829,9.33,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
116.2,78.4,7,4.4,6.2,500,57,532,0,1,4,0.114,0.675,73.89,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
71.6,51.8,14,2.7,23.8,1000,618,162,2,1,4,0.618,0.723,6.53,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.8,32.9,41,21.7,17.9,500,278,116,1,1,0,0.556,0.569,6.14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
63.8,50.8,24,18.2,19.9,800,571,253,2,1,6,0.714,0.796,12.11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
82.9,68.3,15,31.0,11.3,1000,245,271,2,1,5,0.245,0.824,22.03,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
105.1,75.6,19,2.3,10.1,500,228,75,2,1,5,0.456,0.719,6.76,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
111.7,76.7,30,2.1,6.0,1000,477,276,2,1,2,0.477,0.687,39.43,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
